station_id,station_name,station_latitude,station_longitude
2017,E 43 St & 2 Ave,40.75022392,-73.97121414
351,Front St & Maiden Ln,40.70530954,-74.00612572
259,South St & Whitehall St,40.70122128,-74.01234218
2001,7 Ave & Farragut St,40.69892054,-73.97332996
423,W 54 St & 9 Ave,40.76584941,-73.98690506
247,Perry St & Bleecker St,40.73535398,-74.00483091
297,E 15 St & 3 Ave,40.734232,-73.986923
2004,6 Ave & Broome St,40.724399,-74.004704
345,W 13 St & 6 Ave,40.73649403,-73.99704374
376,John St & William St,40.70862144,-74.00722156
476,E 31 St & 3 Ave,40.74394314,-73.97966069
254,W 11 St & 6 Ave,40.73532427,-73.99800419
388,W 26 St & 10 Ave,40.749717753,-74.002950346
320,Leonard St & Church St,40.717571,-74.005549
497,E 17 St & Broadway,40.73704984,-73.99009296
393,E 5 St & Avenue C,40.72299208,-73.97995466
500,Broadway & W 51 St,40.76228826,-73.98336183
427,Bus Slip & State St,40.701907,-74.013942
2009,Catherine St & Monroe St,40.71117444,-73.99682619
540,Lexington Ave & E 26 St,40.74147286,-73.98320928
468,Broadway & W 55 St,40.7652654,-73.98192338
369,Washington Pl & 6 Ave,40.73224119,-74.00026394
343,Clinton Ave & Flushing Ave,40.69794,-73.96986848
362,Broadway & W 37 St,40.75172632,-73.98753523
238,Bank St & Washington St,40.7361967,-74.00859207
309,Murray St & West St,40.7149787,-74.013012
337,Old Slip & Front St,40.7037992,-74.00838676
402,Broadway & E 22 St,40.7403432,-73.98955109
428,E 3 St & 1 Ave,40.72467721,-73.98783413
396,Lefferts Pl & Franklin Ave,40.680342423,-73.9557689392
279,Sands St & Gold St,40.69986937,-73.98271933
384,Fulton St & Waverly Ave,40.68317813,-73.9659641
385,E 55 St & 2 Ave,40.75797322,-73.96603308
436,Hancock St & Bedford Ave,40.68216564,-73.95399026
346,Bank St & Hudson St,40.73652889,-74.00618026
313,Washington Ave & Park Ave,40.69610226,-73.96751037
334,W 20 St & 7 Ave,40.74238787,-73.99726235
446,W 24 St & 7 Ave,40.74487634,-73.99529885
340,Madison St & Clinton St,40.71269042,-73.98776323
519,E 42 St & Vanderbilt Ave,40.752416,-73.97837
440,E 45 St & 3 Ave,40.75255434,-73.97282625
473,Rivington St & Chrystie St,40.72110063,-73.9919254
2002,Wythe Ave & Metropolitan Ave,40.716887,-73.963198
492,W 33 St & 7 Ave,40.75019995,-73.99093085
303,Mercer St & Spring St,40.72362738,-73.99949601
517,Pershing Square South,40.751581,-73.97791
533,Broadway & W 39 St,40.75299641,-73.98721619
507,E 25 St & 2 Ave,40.73912601,-73.97973776
427,State St,40.70251526,-74.01427023
460,S 4 St & Wythe Ave,40.71285887,-73.96590294
335,Washington Pl & Broadway,40.72903917,-73.99404649
365,Fulton St & Grand Ave,40.68223166,-73.9614583
3002,South End Ave & Liberty St,40.711512,-74.015756
302,Avenue D & E 3 St,40.72082834,-73.97793172
503,E 20 St & Park Ave,40.73827428,-73.98751968
526,E 33 St & 5 Ave,40.74765947,-73.98490707
415,Pearl St & Hanover Square,40.7047177,-74.00926027
2001,Sands St & Navy St,40.699773,-73.979927
352,W 56 St & 6 Ave,40.76340613,-73.97722479
82,St James Pl & Pearl St,40.71117416,-74.00016545
403,E 2 St & 2 Ave,40.72502876,-73.99069656
157,Henry St & Atlantic Ave,40.69089272,-73.99612349
320,Church St & Leonard St,40.71743998,-74.00583475
375,Mercer St & Bleecker St,40.72679454,-73.99695094
242,Flushing Ave & Carlton Ave,40.69788349,-73.97350332
519,Pershing Square N,40.75188406,-73.97770164
407,Henry St & Poplar St,40.700469,-73.991454
464,E 56 St & 3 Ave,40.75934501,-73.96759673
518,E 39 St & 2 Ave,40.74780373,-73.9734419
359,E 47 St & Park Ave,40.75510267,-73.97498696
431,Hanover Pl & Livingston St,40.68864636,-73.98263429
532,S 5 Pl & S 4 St,40.710451,-73.960876
322,Clinton St & Tillary St,40.696192,-73.991218
390,Duffield St & Willoughby St,40.69221589,-73.9842844
481,S 3 St & Bedford Ave,40.71260486,-73.96264403
501,FDR Drive & E 35 St,40.744219,-73.97121214
477,W 41 St & 8 Ave,40.75640548,-73.9900262
524,W 43 St & 6 Ave,40.75527307,-73.98316936
232,Cadman Plaza E & Tillary St,40.69597683,-73.99014892
329,Greenwich St & N Moore St,40.72043411,-74.01020609
