DATE,NEW_DATE,DATE_STRING,AVG_WIND,PRECIP,SNOW_TOTAL,SNOW_DEPTH,MAX_TEMP,MIN_TEMP,FOG,THUNDER,ICE,HAIL,HAZE_SMOKE,BLW_SNOW,HIGH_WIND,DRIZZLE,RAIN,SNOW
2010-01-01,2010-01-01T00:00:00Z,01 January 2010,3.36,0.03,0,0,40,33,Yes,No,No,No,No,No,No,No,Yes,Yes
2010-01-02,2010-01-02T00:00:00Z,02 January 2010,12.53,0.02,0.2,0,34,17,Yes,No,No,No,Yes,No,No,No,Yes,Yes
2010-01-03,2010-01-03T00:00:00Z,03 January 2010,14.32,0,0,0,22,17,No,No,No,No,Yes,No,No,No,No,Yes
2010-01-04,2010-01-04T00:00:00Z,04 January 2010,10.74,0,0,0,30,19,No,No,No,No,No,No,No,No,No,No
2010-01-05,2010-01-05T00:00:00Z,05 January 2010,9.84,0,0,0,30,20,No,No,No,No,No,No,No,No,No,Yes
2010-01-06,2010-01-06T00:00:00Z,06 January 2010,9.62,0,0,0,34,26,No,No,No,No,No,No,No,No,Yes,Yes
2010-01-07,2010-01-07T00:00:00Z,07 January 2010,8.72,0,0,0,37,30,No,No,No,No,No,No,No,No,No,No
2010-01-08,2010-01-08T00:00:00Z,08 January 2010,7.61,0.05,0.6,0,33,23,Yes,No,No,No,Yes,No,No,No,Yes,Yes
2010-01-09,2010-01-09T00:00:00Z,09 January 2010,8.72,0,0,0,30,18,No,No,No,No,No,No,No,No,No,No
2010-01-10,2010-01-10T00:00:00Z,10 January 2010,6.93,0,0,0,28,14,No,No,No,No,No,No,No,No,No,No
2010-01-11,2010-01-11T00:00:00Z,11 January 2010,7.16,0,0,0,31,21,No,No,No,No,No,No,No,No,No,No
2010-01-12,2010-01-12T00:00:00Z,12 January 2010,9.4,0,0,0,35,24,No,No,No,No,No,No,No,No,No,No
2010-01-13,2010-01-13T00:00:00Z,13 January 2010,8.05,0,0,0,35,24,No,No,No,No,No,No,No,No,No,No
2010-01-14,2010-01-14T00:00:00Z,14 January 2010,3.36,0,0,0,42,30,No,No,No,No,No,No,No,No,No,No
2010-01-15,2010-01-15T00:00:00Z,15 January 2010,7.83,0,0,0,50,35,No,No,No,No,No,No,No,No,No,No
2010-01-16,2010-01-16T00:00:00Z,16 January 2010,6.49,0,0,0,49,38,No,No,No,No,No,No,No,No,No,No
